# Treatment ID, User, Recipe, Device, Start Date, End Date, species, cultivar, seed, netn, growthtech
7-20171002OB-UV~Treat2~2017-06-22T00:00:00.0Z, tsavas@media.mit.edu, Exp7-Treat2, FS0, 2017-10-02T00:00:00Z, , Ocimum basilicum, Sweet Basil, https://www.edenbrothers.com/store/sweet_basil_seeds.html, 0, hydroponic
7-20171002OB-UV~Treat3~2017-06-22T00:00:00.0Z, tsavas@media.mit.edu, Exp7-Treat3, FS0, 2017-10-02T00:00:00Z, , Ocimum basilicum, Sweet Basil, https://www.edenbrothers.com/store/sweet_basil_seeds.html, 0, hydroponic
7-20171002OB-UV~Treat4~2017-06-22T00:00:00.0Z, tsavas@media.mit.edu, Exp7-Treat4, FS0, 2017-10-02T00:00:00Z, , Ocimum basilicum, Sweet Basil, https://www.edenbrothers.com/store/sweet_basil_seeds.html, 0, hydroponic
7-20171002OB-UV~Treat5~2017-06-22T00:00:00.0Z, tsavas@media.mit.edu, Exp7-Treat5, FS0, 2017-10-02T00:00:00Z, , Ocimum basilicum, Sweet Basil, https://www.edenbrothers.com/store/sweet_basil_seeds.html, 0, hydroponic
7-20171002OB-UV~Treat6~2017-06-22T00:00:00.0Z, tsavas@media.mit.edu, Exp7-Treat6, FS0, 2017-10-02T00:00:00Z, , Ocimum basilicum, Sweet Basil, https://www.edenbrothers.com/store/sweet_basil_seeds.html, 0, hydroponic
7-20171002OB-UV~Treat7~2017-06-22T00:00:00.0Z, tsavas@media.mit.edu, Exp7-Treat7, FS0, 2017-10-02T00:00:00Z, , Ocimum basilicum, Sweet Basil, https://www.edenbrothers.com/store/sweet_basil_seeds.html, 0, hydroponic
9-20171004-CT~Treat1~2017-10-04T00:00:00.0Z, tsavas@media.mit.edu, Exp9-Treat1, FS0, 2017-10-04T00:00:00Z, , Gossypium UA-222, Cotton, , 150, shallow water
9-20171004-CT~Treat2~2017-10-04T00:00:00.0Z, tsavas@media.mit.edu, Exp9-Treat2, FS0, 2017-10-04T00:00:00Z, , Gyssypium UA-48, Cotton, , 150, shallow water
9-20171004-CT~Treat3~2017-10-04T00:00:00.0Z, tsavas@media.mit.edu, Exp9-Treat3, FS0, 2017-10-04T00:00:00Z, , Gossypium UA-222, Cotton, , 200, 6" pot
9-20171004-CT~Treat4~2017-10-04T00:00:00.0Z, tsavas@media.mit.edu, Exp9-Treat4, FS0, 2017-10-04T00:00:00Z, , Gyssypium UA-48, Cotton, , 200, 6" pot
9-20171004-CT~Treat5~2017-10-04T00:00:00.0Z, tsavas@media.mit.edu, Exp9-Treat5, FS0, 2017-10-04T00:00:00Z, , Gossypium UA-222, Cotton, , 200, 8" pot
9-20171004-CT~Treat6~2017-10-04T00:00:00.0Z, tsavas@media.mit.edu, Exp9-Treat6, FS0, 2017-10-04T00:00:00Z, , Gyssypium UA-48, Cotton, , 200, 8" pot
9-20171004-CT~Treat7~2017-10-04T00:00:00.0Z, tsavas@media.mit.edu, Exp9-Treat7, FS0, 2017-10-04T00:00:00Z, , Gossypium UA-222, Cotton, , 250, shallow water
9-20171004-CT~Treat8~2017-10-04T00:00:00.0Z, tsavas@media.mit.edu, Exp9-Treat8, FS0, 2017-10-04T00:00:00Z, , Gyssypium UA-48, Cotton, , 250, shallow water
