#id,RT,RI,abundance,CAS,weight
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~β-ylangene",31.525,,15074499,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~sesquiterpene c",31.942,,,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~trans-α-Bergamotene",32.311,,314106677,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~caryophyllene",32.582,,,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~sesquiterpene d",32.683,,5933525,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~Humulene",32.947,,45241086,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~(E)-β-Famesene",33.219,,193058909,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~sesquiterpene e",33.339,,8637533,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~γ-Muurolene",33.934,,,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~sesquiterpene f",34.086,,59022038,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~Isocaryophillene",34.27,,21081802,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~sesquiterpene g",34.712,,29547405,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~sesquiterpene h",34.831,,8649664,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~δ-Guaiene",35.108,,28778162,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~β-Bisabolene",35.256,,8211301,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~γ-Cadinene",35.424,,36159569,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~sesquiterpene i",35.832,,17801437,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~α-Cadinene",36.339,,,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~cubenol",39.305,,,,
"1-20160515OB-UVC~Treat1~UL~2016-05-15T00:00:00.0Z~T-Cadinol",40.271,,21948207,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~β-Pinene",10.874,,42103474,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~β-Myrcene",11.712,,24416585,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~Eucalyptol",13.51,,360768024,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~β-cis-Ocimene",14.506,,58467832,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~Terpinolene",16.388,,16969901,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~Linalool",17.086,,588500055,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~d-Camphor",19.026,,12599306,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~endo-Borneol",20.078,,19494229,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~Terpinen-4-ol",20.669,,6752617,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~α-Terpineol",21.32,,39468950,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~Bornyl acetate",25.781,,23194107,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~sesquiterpene a",28.041,,21684105,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~Eugenol",29.151,,2296956995,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~Copaene",29.729,,12011981,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~trans-Methyl cinnamate",30.02,,8398939,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~sesquiterpene b",30.144,,,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~β-Elemene",30.446,,77110332,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~Methyleugenol",31.083,,221758941,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~β-ylangene",31.525,,21962282,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~sesquiterpene c",31.942,,6860013,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~trans-α-Bergamotene",32.311,,379546484,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~caryophyllene",32.582,,8159858,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~sesquiterpene d",32.683,,13168881,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~Humulene",32.947,,53829949,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~(E)-β-Famesene",33.219,,101038793,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~sesquiterpene e",33.339,,20687295,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~γ-Muurolene",33.934,,,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~sesquiterpene f",34.086,,100443169,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~Isocaryophillene",34.27,,29105023,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~sesquiterpene g",34.712,,51822705,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~sesquiterpene h",34.831,,15983091,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~δ-Guaiene",35.108,,43987328,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~β-Bisabolene",35.256,,8608496,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~γ-Cadinene",35.424,,76652574,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~sesquiterpene i",35.832,,26977284,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~α-Cadinene",36.339,,5325624,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~cubenol",39.305,,9258347,,
"1-20160515OB-UVC~Treat2~UF~2016-05-15T00:00:00.0Z~T-Cadinol",40.271,,64246142,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~β-Pinene",10.874,,42639059,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~β-Myrcene",11.712,,27933597,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~Eucalyptol",13.51,,352721848,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~β-cis-Ocimene",14.506,,74692523,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~Terpinolene",16.388,,15551744,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~Linalool",17.086,,803743964,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~d-Camphor",19.026,,12275938,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~endo-Borneol",20.078,,14337471,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~Terpinen-4-ol",20.669,,8163085,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~α-Terpineol",21.32,,46717203,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~Bornyl acetate",25.781,,22501002,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~sesquiterpene a",28.041,,33891205,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~Eugenol",29.151,,2129163947,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~Copaene",29.729,,11484772,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~trans-Methyl cinnamate",30.02,,,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~sesquiterpene b",30.144,,10234958,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~β-Elemene",30.446,,127331098,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~Methyleugenol",31.083,,14844494,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~β-ylangene",31.525,,29919816,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~sesquiterpene c",31.942,,8731761,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~trans-α-Bergamotene",32.311,,412829907,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~caryophyllene",32.582,,10897390,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~sesquiterpene d",32.683,,22917199,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~Humulene",32.947,,63166062,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~(E)-β-Famesene",33.219,,45757906,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~sesquiterpene e",33.339,,34169709,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~γ-Muurolene",33.934,,7501537,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~sesquiterpene f",34.086,,136411187,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~Isocaryophillene",34.27,,36081865,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~sesquiterpene g",34.712,,78710849,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~sesquiterpene h",34.831,,23659991,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~δ-Guaiene",35.108,,64121979,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~β-Bisabolene",35.256,,9539919,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~γ-Cadinene",35.424,,117082602,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~sesquiterpene i",35.832,,32160984,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~α-Cadinene",36.339,,7835277,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~cubenol",39.305,,13987581,,
"1-20160515OB-UVC~Treat3~UI~2016-05-15T00:00:00.0Z~T-Cadinol",40.271,,92921968,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~β-Pinene",10.874,,25597356,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~β-Myrcene",11.712,,15260354,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~Eucalyptol",13.51,,302188846,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~β-cis-Ocimene",14.506,,56879596,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~Terpinolene",16.388,,15191936,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~Linalool",17.086,,456180039,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~d-Camphor",19.026,,9664136,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~endo-Borneol",20.078,,12635792,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~Terpinen-4-ol",20.669,,5389626,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~α-Terpineol",21.32,,28976530,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~Bornyl acetate",25.781,,18226441,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~sesquiterpene a",28.041,,23354640,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~Eugenol",29.151,,1488483265,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~Copaene",29.729,,14397634,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~trans-Methyl cinnamate",30.02,,8320071,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~sesquiterpene b",30.144,,5996519,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~β-Elemene",30.446,,94083297,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~Methyleugenol",31.083,,260301492,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~β-ylangene",31.525,,23261578,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~sesquiterpene c",31.942,,7903029,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~trans-α-Bergamotene",32.311,,386220053,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~caryophyllene",32.582,,8595585,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~sesquiterpene d",32.683,,14915916,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~Humulene",32.947,,58870390,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~(E)-β-Famesene",33.219,,151970351,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~sesquiterpene e",33.339,,21684659,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~γ-Muurolene",33.934,,6956107,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~sesquiterpene f",34.086,,103860887,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~Isocaryophillene",34.27,,30457468,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~sesquiterpene g",34.712,,56087401,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~sesquiterpene h",34.831,,21680466,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~δ-Guaiene",35.108,,60991140,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~β-Bisabolene",35.256,,10770963,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~γ-Cadinene",35.424,,84844382,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~sesquiterpene i",35.832,,30480119,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~α-Cadinene",36.339,,6883801,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~cubenol",39.305,,7351332,,
"1-20160515OB-UVC~Treat4~CF~2016-05-15T00:00:00.0Z~T-Cadinol",40.271,,56312630,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~β-Pinene",10.874,,18867676,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~β-Myrcene",11.712,,11995107,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~Eucalyptol",13.51,,217576163,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~β-cis-Ocimene",14.506,,48924765,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~Terpinolene",16.388,,8680551,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~Linalool",17.086,,618587026,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~d-Camphor",19.026,,5781045,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~endo-Borneol",20.078,,11144493,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~Terpinen-4-ol",20.669,,,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~α-Terpineol",21.32,,32341946,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~Bornyl acetate",25.781,,13646077,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~sesquiterpene a",28.041,,15121500,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~Eugenol",29.151,,2122261881,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~Copaene",29.729,,8042935,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~trans-Methyl cinnamate",30.02,,,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~sesquiterpene b",30.144,,69095166,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~β-Elemene",30.446,,,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~Methyleugenol",31.083,,63787804,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~β-ylangene",31.525,,14323955,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~sesquiterpene c",31.942,,,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~trans-α-Bergamotene",32.311,,241578307,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~caryophyllene",32.582,,,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~sesquiterpene d",32.683,,11109812,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~Humulene",32.947,,32665971,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~(E)-β-Famesene",33.219,,47214328,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~sesquiterpene e",33.339,,17559642,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~γ-Muurolene",33.934,,,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~sesquiterpene f",34.086,,72033527,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~Isocaryophillene",34.27,,18574055,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~sesquiterpene g",34.712,,37420038,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~sesquiterpene h",34.831,,14955495,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~δ-Guaiene",35.108,,45179087,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~β-Bisabolene",35.256,,,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~γ-Cadinene",35.424,,65034866,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~sesquiterpene i",35.832,,17271943,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~α-Cadinene",36.339,,,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~cubenol",39.305,,8008266,,
"1-20160515OB-UVC~Treat5~CI~2016-05-15T00:00:00.0Z~T-Cadinol",40.271,,62898059,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~β-Pinene",10.874,,22441705,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~β-Myrcene",11.712,,13663559,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~Eucalyptol",13.51,,298415831,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~β-cis-Ocimene",14.506,,53355123,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~Terpinolene",16.388,,10876058,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~Linalool",17.086,,648944050,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~d-Camphor",19.026,,14028507,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~endo-Borneol",20.078,,15345547,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~Terpinen-4-ol",20.669,,6761191,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~α-Terpineol",21.32,,39918310,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~Bornyl acetate",25.781,,12509024,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~sesquiterpene a",28.041,,23667651,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~Eugenol",29.151,,2640635104,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~Copaene",29.729,,12193796,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~trans-Methyl cinnamate",30.02,,,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~sesquiterpene b",30.144,,6333844,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~β-Elemene",30.446,,95170959,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~Methyleugenol",31.083,,146817932,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~β-ylangene",31.525,,21786838,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~sesquiterpene c",31.942,,6914424,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~trans-α-Bergamotene",32.311,,371369063,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~caryophyllene",32.582,,7941265,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~sesquiterpene d",32.683,,15328663,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~Humulene",32.947,,50442812,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~(E)-β-Famesene",33.219,,63798162,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~sesquiterpene e",33.339,,23249591,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~γ-Muurolene",33.934,,,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~sesquiterpene f",34.086,,103270087,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~Isocaryophillene",34.27,,30554334,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~sesquiterpene g",34.712,,56156858,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~sesquiterpene h",34.831,,19231796,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~δ-Guaiene",35.108,,56659722,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~β-Bisabolene",35.256,,8836565,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~γ-Cadinene",35.424,,86227049,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~sesquiterpene i",35.832,,27867747,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~α-Cadinene",36.339,,5923310,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~cubenol",39.305,,9467914,,
"1-20160515OB-UVC~Treat6~CL~2016-05-15T00:00:00.0Z~T-Cadinol",40.271,,67989386,,
"2-20160501OB-UV~Treat1~IL1~2016-08-10T00:00:00.0Z~Eucalyptol",13.147,,259506346,,
"2-20160501OB-UV~Treat1~IL1~2016-08-10T00:00:00.0Z~Ocimene",14.001,,30138197,,
"2-20160501OB-UV~Treat1~IL1~2016-08-10T00:00:00.0Z~gamma-terpinene",14.494,,2754122,,
"2-20160501OB-UV~Treat1~IL1~2016-08-10T00:00:00.0Z~terpinolene",15.882,,6581407,,
"2-20160501OB-UV~Treat1~IL1~2016-08-10T00:00:00.0Z~linalool",16.701,,853221710,,
"2-20160501OB-UV~Treat1~IL1~2016-08-10T00:00:00.0Z~camphor",18.747,,,,
"2-20160501OB-UV~Treat1~IL1~2016-08-10T00:00:00.0Z~endo-borneol",19.99,,24659788,,
"2-20160501OB-UV~Treat1~IL1~2016-08-10T00:00:00.0Z~terpinen-4-ol",20.432,,2238155,,
"2-20160501OB-UV~Treat1~IL1~2016-08-10T00:00:00.0Z~alpha-terpineol",21.169,,21003321,,
"2-20160501OB-UV~Treat1~IL1~2016-08-10T00:00:00.0Z~octyl acetate",22.111,,,,
"2-20160501OB-UV~Treat1~IL1~2016-08-10T00:00:00.0Z~chavicol",23.917,,,,
"2-20160501OB-UV~Treat1~IL1~2016-08-10T00:00:00.0Z~bornyl acetate",25.34,,19711610,,
"2-20160501OB-UV~Treat1~IL1~2016-08-10T00:00:00.0Z~gamma-elemene",27.455,,8998723,,
"2-20160501OB-UV~Treat1~IL1~2016-08-10T00:00:00.0Z~alpha-cubebene",28.129,,2529952,,
"2-20160501OB-UV~Treat1~IL1~2016-08-10T00:00:00.0Z~eugenol",28.48,,1384958110,,
"2-20160501OB-UV~Treat1~IL1~2016-08-10T00:00:00.0Z~alpha-copaene",29.346,,7928466,,
